region,control_plane_name,control_plane_id,serverless_gateway_url,auth_server_url
"us","student-03-cp","dd16b053-2481-465a-b3ef-3afbdafe4e1a","https://4ce5c44ad2.us.serverless.gateways.konggateway.com","https://3j4d2oh8jo659rw0.us.identity.konghq.com/auth"
"us","student-04-cp","57ce2ba7-40b4-440d-81fe-89dd47dffc80","https://86ccf2f2b3.us.serverless.gateways.konggateway.com","https://ewwq345c6at7ge3k.us.identity.konghq.com/auth"
"us","student-05-cp","1e1b90d7-41f0-4236-ad0e-08095c2e2920","https://a325d8d0d0.us.serverless.gateways.konggateway.com","https://8pd092cujvegs2aj.us.identity.konghq.com/auth"
"us","student-06-cp","d8922bcb-d8a1-4441-8df0-ab7705b6e272","https://401ed1ab07.us.serverless.gateways.konggateway.com","https://j22equqawego5w85.us.identity.konghq.com/auth"
"us","student-07-cp","d3d52aab-f330-43e0-ba90-850919982a9f","https://baff55cc27.us.serverless.gateways.konggateway.com","https://dq1jgkmvpl7iem4w.us.identity.konghq.com/auth"
"us","student-08-cp","1df25a2b-fc27-46d6-ab64-db83e70e9407","https://2ad5e0ed69.us.serverless.gateways.konggateway.com","https://w10ww8a383r1ysub.us.identity.konghq.com/auth"
"us","student-09-cp","f3af0278-2d3f-45a6-b8ce-a865e41b3f37","https://f5960bc4e5.us.serverless.gateways.konggateway.com","https://eroyik8p7oa7j8pp.us.identity.konghq.com/auth"
"us","student-10-cp","2203d0b0-606b-46cd-9f89-63c46746e16d","https://b72ed6c200.us.serverless.gateways.konggateway.com","https://4eidjxec8r3x5l1t.us.identity.konghq.com/auth"
"us","student-11-cp","27b43618-4468-4375-b3ae-4e174ffd89cf","https://3c43675b56.us.serverless.gateways.konggateway.com","https://rrrfbopd0noukauq.us.identity.konghq.com/auth"
"us","student-12-cp","9276f2b7-1559-4e73-921b-35ad6a525c47","https://b7a0c225f1.us.serverless.gateways.konggateway.com","https://57wzr43fbqfq6x3v.us.identity.konghq.com/auth"
"us","student-13-cp","cd532cbd-1f1d-47bc-86c9-a731ac452d92","https://54a5b073d9.us.serverless.gateways.konggateway.com","https://1ux2rx3wmpsazby5.us.identity.konghq.com/auth"
